inaugural_speech,term,tfidf
kravchuk-1991,україни,0.26371982334464206
kravchuk-1991,має,0.12734523325164232
kravchuk-1991,економіки,0.11319576289034873
kravchuk-1991,нової,0.10882998764169828
kravchuk-1991,галузі,0.10488552122714218
kravchuk-1991,україна,0.09964489953951505
kravchuk-1991,політики,0.09904629252905514
kravchuk-1991,колишнього,0.0930242656986974
kravchuk-1991,прав,0.0930242656986974
kravchuk-1991,створення,0.0930242656986974
kuchma-1994,україни,0.27541659002764607
kuchma-1994,має,0.1519924309004579
kuchma-1994,україна,0.1486635004028261
kuchma-1994,повинні,0.1182163351448006
kuchma-1994,української,0.11567525339860703
kuchma-1994,влади,0.10492060572481755
kuchma-1994,держава,0.10406445028197828
kuchma-1994,процес,0.0938892936774058
kuchma-1994,рішуче,0.0938892936774058
kuchma-1994,мають,0.08882301388280825
kuchma-1999,держави,0.17226810814224724
kuchma-1999,україни,0.12422572830447938
kuchma-1999,системи,0.11074378380573036
kuchma-1999,політики,0.09843891893842699
kuchma-1999,розуміння,0.09121204767968946
kuchma-1999,увагу,0.09121204767968946
kuchma-1999,українського,0.08613405407112362
kuchma-1999,влади,0.0860024272877165
kuchma-1999,життя,0.0860024272877165
kuchma-1999,народу,0.0860024272877165
poroshenko-2014,україни,0.2116698754241262
poroshenko-2014,мир,0.16656658569329114
poroshenko-2014,жити,0.13628175193087455
poroshenko-2014,має,0.12113933504966627
poroshenko-2014,вільно,0.09317375138254602
poroshenko-2014,незалежність,0.09317375138254602
poroshenko-2014,європейської,0.09317375138254602
poroshenko-2014,держави,0.0908545012872497
poroshenko-2014,забезпечити,0.08643207918762731
poroshenko-2014,армія,0.08418443835725703
yanukovych-2010,держави,0.15184745152054
yanukovych-2010,україни,0.13476924802135218
yanukovych-2010,місце,0.11409208615676822
yanukovych-2010,стратегія,0.10010807583265767
yanukovych-2010,ім’я,0.10010807583265767
yanukovych-2010,державного,0.08676997229745143
yanukovych-2010,президента,0.08676997229745143
yanukovych-2010,управління,0.08676997229745143
yanukovych-2010,підтримку,0.08556906461757617
yanukovych-2010,швидко,0.08556906461757617
yushchenko-2005,нацією,0.20804849289926752
yushchenko-2005,станемо,0.1783272796279436
yushchenko-2005,україни,0.1494595826344361
yushchenko-2005,перемога,0.1480269567126072
yushchenko-2005,друзі,0.12335579726050601
yushchenko-2005,хочете,0.11888485308529573
yushchenko-2005,обрали,0.10544044622715068
yushchenko-2005,зроблю,0.09868463780840481
yushchenko-2005,українська,0.09622821255724442
yushchenko-2005,вибір,0.09154422037423916
zelensky-2019,українці,0.17487208382763733
zelensky-2019,готовий,0.16221389205268913
zelensky-2019,президент,0.15294896684383247
zelensky-2019,они,0.1346514612187484
zelensky-2019,зробити,0.12490863130545522
zelensky-2019,кажу,0.12166041903951684
zelensky-2019,это,0.12166041903951684
zelensky-2019,готові,0.115095605324974
zelensky-2019,україни,0.10196597789588831
zelensky-2019,країну,0.08753317449103327
